Date,Open,High,Low,Close,Volume,Adj Close
02/01/2015,2058.899902,2072.360107,2046.040039,2058.199951,2708700000,2058.199951
05/01/2015,2054.439941,2054.439941,2017.339966,2020.579956,3799120000,2020.579956
06/01/2015,2022.150024,2030.25,1992.439941,2002.609985,4460110000,2002.609985
07/01/2015,2005.550049,2029.609985,2005.550049,2025.900024,3805480000,2025.900024
08/01/2015,2030.609985,2064.080078,2030.609985,2062.139893,3934010000,2062.139893
09/01/2015,2063.449951,2064.429932,2038.329956,2044.810059,3364140000,2044.810059
12/01/2015,2046.130005,2049.300049,2022.579956,2028.26001,3456460000,2028.26001
13/01/2015,2031.579956,2056.929932,2008.25,2023.030029,4107300000,2023.030029
14/01/2015,2018.400024,2018.400024,1988.439941,2011.27002,4378680000,2011.27002
15/01/2015,2013.75,2021.349976,1991.469971,1992.670044,4276720000,1992.670044
16/01/2015,1992.25,2020.459961,1988.119995,2019.420044,4056410000,2019.420044
20/01/2015,2020.76001,2028.939941,2004.48999,2022.550049,3944340000,2022.550049
21/01/2015,2020.189941,2038.290039,2012.040039,2032.119995,3730070000,2032.119995
22/01/2015,2034.300049,2064.620117,2026.380005,2063.149902,4176050000,2063.149902
23/01/2015,2062.97998,2062.97998,2050.540039,2051.820068,3573560000,2051.820068
26/01/2015,2050.419922,2057.620117,2040.969971,2057.090088,3465760000,2057.090088
27/01/2015,2047.859985,2047.859985,2019.910034,2029.550049,3329810000,2029.550049
28/01/2015,2032.339966,2042.48999,2001.48999,2002.160034,4067530000,2002.160034
29/01/2015,2002.449951,2024.640015,1989.180054,2021.25,4127140000,2021.25
30/01/2015,2019.349976,2023.319946,1993.380005,1994.98999,4538650000,1994.98999
02/02/2015,1996.670044,2021.660034,1980.900024,2020.849976,4008330000,2020.849976
03/02/2015,2022.709961,2050.300049,2022.709961,2050.030029,4615900000,2050.030029
04/02/2015,2048.860107,2054.73999,2036.719971,2041.51001,4141920000,2041.51001
05/02/2015,2043.449951,2063.550049,2043.449951,2062.52002,3821990000,2062.52002
06/02/2015,2062.280029,2072.399902,2049.969971,2055.469971,4232970000,2055.469971
09/02/2015,2053.469971,2056.159912,2041.880005,2046.73999,3549540000,2046.73999
10/02/2015,2049.379883,2070.860107,2048.620117,2068.590088,3669850000,2068.590088
11/02/2015,2068.550049,2073.47998,2057.98999,2068.530029,3596860000,2068.530029
12/02/2015,2069.97998,2088.530029,2069.97998,2088.47998,3788350000,2088.47998
13/02/2015,2088.780029,2097.030029,2086.699951,2096.98999,3527450000,2096.98999
17/02/2015,2096.469971,2101.300049,2089.800049,2100.340088,3361750000,2100.340088
18/02/2015,2099.159912,2100.22998,2092.149902,2099.679932,3370020000,2099.679932
19/02/2015,2099.25,2102.129883,2090.790039,2097.449951,3247100000,2097.449951
20/02/2015,2097.649902,2110.610107,2085.439941,2110.300049,3281600000,2110.300049
23/02/2015,2109.830078,2110.050049,2103,2109.659912,3093680000,2109.659912
24/02/2015,2109.100098,2117.939941,2105.870117,2115.47998,3199840000,2115.47998
25/02/2015,2115.300049,2119.590088,2109.889893,2113.860107,3312340000,2113.860107
26/02/2015,2113.909912,2113.909912,2103.76001,2110.73999,3408690000,2110.73999
27/02/2015,2110.879883,2112.73999,2103.75,2104.5,3547380000,2104.5
02/03/2015,2105.22998,2117.52002,2104.5,2117.389893,3409490000,2117.389893
03/03/2015,2115.76001,2115.76001,2098.26001,2107.780029,3262300000,2107.780029
04/03/2015,2107.719971,2107.719971,2094.48999,2098.530029,3421110000,2098.530029
05/03/2015,2098.540039,2104.25,2095.219971,2101.040039,3103030000,2101.040039
06/03/2015,2100.909912,2100.909912,2067.27002,2071.26001,3853570000,2071.26001
09/03/2015,2072.25,2083.48999,2072.209961,2079.429932,3349090000,2079.429932
10/03/2015,2076.139893,2076.139893,2044.160034,2044.160034,3668900000,2044.160034
11/03/2015,2044.689941,2050.080078,2039.689941,2040.23999,3406570000,2040.23999
12/03/2015,2041.099976,2066.409912,2041.099976,2065.949951,3405860000,2065.949951
13/03/2015,2064.560059,2064.560059,2041.170044,2053.399902,3498560000,2053.399902
16/03/2015,2055.350098,2081.409912,2055.350098,2081.189941,3295600000,2081.189941
